date,ANM,ANM_acf,ANM_alpha,ANM_beta,ANM_ese,ANM_gamma,ANM_lower,ANM_m,ANM_sqe,ANM_sse,ANM_upper,Benchmark,Benchmark_acf,Benchmark_ese,Benchmark_lower,Benchmark_sqe,Benchmark_sse,Benchmark_upper,adj_close
2017-01-03,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,114.71537780152
2017-01-04,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,114.58698349145
2017-01-05,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,115.16969612943998
2017-01-06,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,116.45363923011001
2017-01-09,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,117.5202996522
2017-01-10,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,117.63881747687
2017-01-11,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,118.27091254181002
2017-01-12,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,117.77708827233
2017-01-13,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,117.56968207915001
2017-01-17,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,118.51782467656
2017-01-18,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,118.50794819116999
2017-01-19,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,118.30054199798
2017-01-20,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,118.51782467656
2017-01-23,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,118.59683655968
2017-01-24,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,118.48819522039
2017-01-25,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,120.37460392982
2017-01-26,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,120.43386284216001
2017-01-27,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,120.44373932754999
2017-01-30,120.44373952980855,-0.3160477347285422,0.5,0.0,1.2784667972887132e-07,0.5,118.29628113193847,1.0,0.09988617062704298,0.09988617062704298,122.72324848596739,120.44373932754999,-0.3160475324699803,0.0,120.43386284216001,0.09988604278036325,0.09988604278036325,120.43386284216001,120.12769179508001
2017-01-31,120.12789912459964,-0.2767489204296396,0.5,0.0,0.0001147134559293661,0.5,118.1373030706761,1.0,0.076589964958971,0.176476135586014,122.59057427821774,120.12769179508001,-0.2765415909100142,0.0,120.44373932754999,0.07647525150304163,0.17636129428340488,120.44373932754999,119.85115020417
2017-02-01,119.85130959671228,7.308439795847718,0.5,0.0,-0.0023298470043968678,0.5,118.06291123228783,1.0,53.41329224953064,53.589768385116656,122.16843103907242,119.85115020417,7.308599188390005,0.0,120.12769179508001,53.41562209653504,53.59198339081844,120.12769179508001,127.15974939256
2017-02-02,124.69051463242278,2.251952081557235,0.30000000000000004,0.0,5.024076415219067,0.35000000000000003,115.16802990742583,1.0,5.071288177629963,58.66105656274662,126.15467273712999,127.15974939256,-0.21728267857999128,0.0,119.85115020417,0.0472117624108958,53.63919515322934,119.85115020417,126.94246671398001
2017-02-03,126.91140042870343,0.574272981716561,0.5,0.0,0.034715942472392125,0.41000000000000003,121.58629830881549,1.0,0.3297894575296297,58.99084602027625,132.12781737828888,126.94246671398001,0.5432066964399809,0.0,127.15974939256,0.29507351505723756,53.93426866828658,127.15974939256,127.48567341041999
2017-02-06,127.44101063976265,1.2397175028073377,0.5,0.0,0.10874367393275741,0.42,121.98721307333074,1.0,1.5368994867668615,60.527745507043115,132.3428343709675,127.48567341041999,1.1950547321499982,0.0,126.94246671398001,1.428155812834104,55.362424481120684,126.94246671398001,128.68072814257
2017-02-07,128.60967555419992,1.2957367767000676,0.5,0.0,0.17908243334756468,0.44,121.90279743144707,1.0,1.6789337944930809,62.2066793015362,132.75647731973433,128.68072814257,1.2246841883300021,0.0,127.48567341041999,1.4998513611455162,56.8622758422662,127.48567341041999,129.9054123309
2017-02-08,129.8574726865947,0.5516403991753123,0.5,0.0,0.05059267954567964,0.46,123.31907954107217,1.0,0.30430713000229787,62.5109864315385,134.50752540928488,129.9054123309,0.5037007548700103,0.0,128.68072814257,0.2537144504566182,57.11599029272282,128.68072814257,130.40911308577
2017-02-09,130.39853954987424,0.9488396479157473,0.0,0.0,0.019953380491773753,0.98,124.12465000384765,1.0,0.9002966774568792,63.41128310899538,135.14804663112892,130.40911308577,0.9382661120199884,0.0,129.9054123309,0.8803432969651055,57.99633358968793,129.9054123309,131.34737919779
2017-02-10,131.3379449299054,-0.2881356895153999,0.0,0.0,-0.005525703974514629,0.99,124.90444650978974,1.0,0.08302217557251494,63.49430528456789,136.2550555371538,131.34737919779,-0.29756995739998615,0.0,130.40911308577,0.08854787954702957,58.08488146923496,130.40911308577,131.04980924039
2017-02-13,131.05269059728516,1.1576414769748453,0.0,0.0,-0.0066794587211644885,0.99,125.90613292670066,1.0,1.3401337892125014,64.8344390737804,137.34403378147866,131.04980924039,1.1605228338700044,0.0,131.34737919779,1.3468132479336659,59.431694717168625,131.34737919779,132.21033207426
2017-02-14,132.1872330548484,1.739085773771592,0.0,0.0,0.07980878739580843,0.98,125.91924360253232,1.0,3.0244193285347367,67.85885840231514,136.50401065470908,132.21033207426,1.7159867543599887,0.0,131.04980924039,2.9446105411389283,62.37630525830755,131.04980924039,133.92631882862
2017-02-15,133.92631882862,0.48603093043001877,0.0,0.0,0.0,1.0,126.11341155407638,1.0,0.23622606533466975,68.09508446764981,138.37557546697832,133.92631882862,0.48603093043001877,0.0,132.21033207426,0.23622606533466975,62.61253132364222,132.21033207426,134.41234975905002
2017-02-16,134.41234975905002,-0.16366347657000802,0.0,0.0,0.0,1.0,128.36635134265165,1.0,0.026785733562981563,68.1218702012128,139.55199225737675,134.41234975905002,-0.16366347657000802,0.0,133.92631882862,0.026785733562981563,62.639317057205204,133.92631882862,134.24868628248
2017-02-17,134.24868628247998,0.3719624467500182,0.0,0.0,2.1149748619109232e-14,1.0,128.17734872283324,1.0,0.13835606179226015,68.26022626300507,139.8738946361784,134.24868628248,0.3719624467499898,0.0,134.41234975905002,0.138356061792239,62.77767311899744,134.41234975905002,134.62064872923
2017-02-21,134.62064872923,0.9720618608500047,0.0,0.0,0.0,1.0,128.55064801760994,1.0,0.9449042613191738,69.20513052432425,140.44030071616262,134.62064872923,0.9720618608500047,0.0,134.24868628248,0.9449042613191738,63.722577380316615,134.24868628248,135.59271059008
2017-02-22,135.59271059008,0.4066789417900054,1.0,0.0,0.0,0.0,129.6230052310512,1.0,0.16538776169543862,69.37051828601969,139.3998407614202,135.59271059008,0.4066789417900054,0.0,134.62064872923,0.16538776169543862,63.88796514201206,134.62064872923,135.99938953187
2017-02-23,135.99938953187,-0.5753019176500231,0.0,0.0,0.0,1.0,128.83507691391674,1.0,0.330972296451794,69.70149058247148,141.2840496057314,135.99938953187,-0.5753019176500231,0.0,135.59271059008,0.330972296451794,64.21893743846385,135.59271059008,135.42408761421999
2017-02-24,135.42408761421999,0.12894698154002526,1.0,0.0,0.0,0.0,130.47344832067103,1.0,0.016627324048283616,69.71811790651977,141.3237787457424,135.42408761421999,0.12894698154002526,0.0,135.99938953187,0.016627324048283616,64.23556476251214,135.99938953187,135.55303459576
2017-02-27,135.55303459576,0.2678129616599847,0.0,0.0,0.0,1.0,129.89413112780548,1.0,0.07172378243309244,69.78984168895286,140.9785320627072,135.55303459576,0.2678129616599847,0.0,135.42408761421999,0.07172378243309244,64.30728854494524,135.42408761421999,135.82084755742
2017-02-28,135.82097980728355,0.05938174161644838,0.5,0.0,-1.5723944479221867e-05,0.5,133.0694991530861,1.0,0.0035261912374026376,69.79336788019026,137.8975465751681,135.82084755742,0.059513991480002915,0.0,135.55303459576,0.0035419151818818595,64.31083046012712,135.55303459576,135.8803615489
2017-03-01,135.88036803941282,2.777313111917209,0.5,0.0,-3.605241482596e-05,0.5,133.669490090084,1.0,7.713468121627253,77.50683600181752,138.0371766353339,135.8803615489,2.777319602430026,0.0,135.82084755742,7.713504174042079,72.02433463416921,135.82084755742,138.65768115133002
2017-03-02,138.67187280431293,-0.8374685351229516,0.5,0.0,0.02356872265474097,0.5,132.9920080073158,1.0,0.7013535473209824,78.2081895491385,138.52098609312898,138.65768115133002,-0.8232768821400498,0.0,135.8803615489,0.6777848246662415,72.70211945883545,135.8803615489,137.83440426918997
2017-03-03,137.83440426918997,0.8133578835600304,1.0,0.0,0.0,0.0,135.7493205682285,1.0,0.6615510467492519,78.86974059588775,141.3546163210645,137.83440426918997,0.8133578835600304,0.0,138.65768115133002,0.6615510467492519,73.36367050558471,138.65768115133002,138.64776215275
